,drug,SE
0,184,SE77
0,186,SE77
0,192,SE77
0,193,SE77
0,201,SE77
0,209,SE77
0,212,SE77
0,213,SE77
0,218,SE77
0,220,SE77
0,222,SE77
0,223,SE77
0,224,SE77
0,235,SE77
0,236,SE77
0,240,SE77
0,243,SE77
0,247,SE77
0,252,SE77
0,261,SE77
0,271,SE77
0,276,SE77
0,280,SE77
0,287,SE77
0,288,SE77
0,290,SE77
0,296,SE77
0,297,SE77
0,303,SE77
0,311,SE77
0,317,SE77
0,320,SE77
0,323,SE77
0,330,SE77
0,333,SE77
0,334,SE77
0,345,SE77
0,346,SE77
0,356,SE77
0,361,SE77
0,363,SE77
0,370,SE77
0,377,SE77
0,379,SE77
0,381,SE77
0,386,SE77
0,390,SE77
0,392,SE77
0,395,SE77
0,409,SE77
0,410,SE77
0,411,SE77
0,415,SE77
0,416,SE77
0,417,SE77
0,425,SE77
0,435,SE77
0,442,SE77
0,449,SE77
0,454,SE77
0,462,SE77
0,465,SE77
0,469,SE77
0,480,SE77
0,484,SE77
0,485,SE77
0,497,SE77
0,498,SE77
0,503,SE77
0,506,SE77
0,509,SE77
0,525,SE77
0,530,SE77
0,537,SE77
0,541,SE77
0,549,SE77
0,551,SE77
0,552,SE77
0,555,SE77
0,563,SE77
0,564,SE77
0,570,SE77
0,572,SE77
0,575,SE77
0,589,SE77
0,590,SE77
0,591,SE77
0,593,SE77
0,597,SE77
0,613,SE77
0,614,SE77
0,615,SE77
0,618,SE77
0,634,SE77
0,641,SE77
0,643,SE77
0,649,SE77
0,650,SE77
0,653,SE77
0,659,SE77
0,667,SE77
0,669,SE77
0,673,SE77
0,676,SE77
0,677,SE77
0,678,SE77
0,690,SE77
0,693,SE77
0,695,SE77
0,702,SE77
0,712,SE77
0,717,SE77
0,719,SE77
0,721,SE77
0,722,SE77
0,725,SE77
0,728,SE77
0,731,SE77
0,734,SE77
0,736,SE77
0,754,SE77
0,756,SE77
0,764,SE77
0,766,SE77
0,767,SE77
0,775,SE77
0,776,SE77
0,777,SE77
0,782,SE77
0,788,SE77
0,789,SE77
0,792,SE77
0,803,SE77
0,821,SE77
0,831,SE77
0,542,SE78
0,1,SE79
0,2,SE79
0,5,SE79
0,11,SE79
0,18,SE79
0,19,SE79
0,24,SE79
0,34,SE79
0,35,SE79
0,41,SE79
0,45,SE79
0,48,SE79
0,49,SE79
0,50,SE79
0,53,SE79
0,56,SE79
0,57,SE79
0,69,SE79
0,71,SE79
0,78,SE79
0,79,SE79
0,83,SE79
0,85,SE79
0,89,SE79
0,91,SE79
0,92,SE79
0,100,SE79
0,101,SE79
0,106,SE79
0,110,SE79
0,117,SE79
0,121,SE79
0,123,SE79
0,124,SE79
0,126,SE79
0,137,SE79
0,143,SE79
0,146,SE79
0,152,SE79
0,153,SE79
0,158,SE79
0,162,SE79
0,172,SE79
0,174,SE79
0,182,SE79
0,184,SE79
0,192,SE79
0,203,SE79
0,209,SE79
0,213,SE79
0,214,SE79
0,220,SE79
0,229,SE79
0,234,SE79
0,236,SE79
0,240,SE79
0,241,SE79
0,247,SE79
0,259,SE79
0,260,SE79
0,261,SE79
0,266,SE79
0,270,SE79
0,271,SE79
0,276,SE79
0,277,SE79
0,278,SE79
0,281,SE79
0,285,SE79
0,286,SE79
0,303,SE79
0,315,SE79
0,316,SE79
0,320,SE79
0,322,SE79
0,326,SE79
0,327,SE79
0,330,SE79
0,334,SE79
0,335,SE79
0,338,SE79
0,339,SE79
0,343,SE79
0,345,SE79
0,346,SE79
0,350,SE79
0,352,SE79
0,353,SE79
0,356,SE79
0,361,SE79
0,362,SE79
0,368,SE79
0,373,SE79
0,379,SE79
0,380,SE79
0,382,SE79
0,389,SE79
0,392,SE79
0,395,SE79
0,405,SE79
0,406,SE79
0,408,SE79
0,416,SE79
0,423,SE79
0,434,SE79
0,435,SE79
0,442,SE79
0,444,SE79
0,450,SE79
0,454,SE79
0,455,SE79
0,462,SE79
0,464,SE79
0,469,SE79
0,483,SE79
0,484,SE79
0,498,SE79
0,503,SE79
0,514,SE79
0,517,SE79
0,527,SE79
0,532,SE79
0,537,SE79
0,538,SE79
0,539,SE79
0,541,SE79
0,549,SE79
0,557,SE79
0,558,SE79
0,564,SE79
0,565,SE79
0,568,SE79
0,570,SE79
0,572,SE79
0,575,SE79
0,576,SE79
0,578,SE79
0,589,SE79
0,590,SE79
0,592,SE79
0,597,SE79
0,604,SE79
0,611,SE79
0,613,SE79
0,615,SE79
0,616,SE79
0,618,SE79
0,620,SE79
0,621,SE79
0,654,SE79
0,659,SE79
0,664,SE79
0,665,SE79
0,670,SE79
0,672,SE79
0,675,SE79
0,678,SE79
0,682,SE79
0,689,SE79
0,701,SE79
0,709,SE79
0,720,SE79
0,724,SE79
0,730,SE79
0,731,SE79
0,732,SE79
0,736,SE79
0,738,SE79
0,758,SE79
0,760,SE79
0,762,SE79
0,768,SE79
0,770,SE79
0,773,SE79
0,781,SE79
0,783,SE79
0,789,SE79
0,792,SE79
0,804,SE79
0,808,SE79
0,809,SE79
0,812,SE79
0,826,SE79
0,829,SE79
0,831,SE79
0,34,SE80
0,50,SE80
0,77,SE80
0,137,SE80
0,220,SE80
0,252,SE80
0,261,SE80
0,278,SE80
0,287,SE80
0,298,SE80
0,300,SE80
0,312,SE80
0,330,SE80
0,357,SE80
0,406,SE80
0,411,SE80
0,498,SE80
0,503,SE80
0,530,SE80
0,549,SE80
0,590,SE80
0,614,SE80
0,650,SE80
0,693,SE80
0,724,SE80
0,788,SE80
0,820,SE80
0,381,SE81
0,524,SE81
0,575,SE81
0,724,SE81
0,1,SE82
0,5,SE82
0,9,SE82
0,10,SE82
0,17,SE82
0,24,SE82
0,25,SE82
0,34,SE82
0,35,SE82
0,41,SE82
0,48,SE82
0,50,SE82
0,58,SE82
0,61,SE82
0,62,SE82
0,67,SE82
0,76,SE82
0,77,SE82
0,83,SE82
0,86,SE82
0,88,SE82
0,101,SE82
0,103,SE82
0,105,SE82
0,109,SE82
0,110,SE82
0,122,SE82
0,124,SE82
0,129,SE82
0,137,SE82
0,145,SE82
0,146,SE82
0,162,SE82
0,184,SE82
0,218,SE82
0,220,SE82
0,222,SE82
0,226,SE82
0,233,SE82
0,236,SE82
0,237,SE82
0,240,SE82
0,247,SE82
0,249,SE82
0,251,SE82
0,252,SE82
0,261,SE82
0,267,SE82
0,270,SE82
0,278,SE82
0,286,SE82
0,291,SE82
0,296,SE82
0,298,SE82
0,303,SE82
0,312,SE82
0,323,SE82
0,340,SE82
0,341,SE82
0,343,SE82
0,345,SE82
0,347,SE82
0,350,SE82
0,357,SE82
0,361,SE82
0,377,SE82
0,381,SE82
0,395,SE82
0,408,SE82
0,409,SE82
0,411,SE82
0,416,SE82
0,422,SE82
0,423,SE82
0,445,SE82
0,454,SE82
0,462,SE82
0,465,SE82
0,469,SE82
0,474,SE82
0,485,SE82
0,488,SE82
0,498,SE82
0,503,SE82
0,511,SE82
0,517,SE82
0,524,SE82
0,529,SE82
0,530,SE82
0,535,SE82
0,536,SE82
0,539,SE82
0,551,SE82
0,557,SE82
0,563,SE82
0,564,SE82
0,575,SE82
0,576,SE82
0,590,SE82
0,595,SE82
0,601,SE82
0,611,SE82
0,613,SE82
0,614,SE82
0,629,SE82
0,631,SE82
0,641,SE82
0,650,SE82
0,658,SE82
0,659,SE82
0,674,SE82
0,675,SE82
0,677,SE82
0,682,SE82
0,685,SE82
0,689,SE82
0,693,SE82
0,700,SE82
0,702,SE82
0,704,SE82
0,713,SE82
0,724,SE82
0,725,SE82
0,727,SE82
0,732,SE82
0,736,SE82
0,767,SE82
0,773,SE82
0,788,SE82
0,792,SE82
0,808,SE82
0,809,SE82
0,810,SE82
0,821,SE82
0,5,SE83
0,24,SE83
0,80,SE83
0,83,SE83
0,150,SE83
0,236,SE83
0,277,SE83
0,278,SE83
0,298,SE83
0,303,SE83
0,323,SE83
0,330,SE83
0,401,SE83
0,411,SE83
0,454,SE83
0,533,SE83
0,549,SE83
0,551,SE83
0,578,SE83
0,639,SE83
0,724,SE83
0,727,SE83
0,736,SE83
0,773,SE83
0,788,SE83
0,1,SE84
0,11,SE84
0,19,SE84
0,34,SE84
0,50,SE84
0,61,SE84
0,67,SE84
0,72,SE84
0,75,SE84
0,83,SE84
0,89,SE84
0,101,SE84
0,117,SE84
0,129,SE84
0,137,SE84
0,155,SE84
0,162,SE84
0,170,SE84
0,196,SE84
0,199,SE84
0,200,SE84
0,218,SE84
0,222,SE84
0,226,SE84
0,229,SE84
0,233,SE84
0,236,SE84
0,238,SE84
0,265,SE84
0,270,SE84
0,277,SE84
0,300,SE84
0,309,SE84
0,320,SE84
0,328,SE84
0,334,SE84
0,357,SE84
0,361,SE84
0,395,SE84
0,406,SE84
0,416,SE84
0,423,SE84
0,426,SE84
0,456,SE84
0,464,SE84
0,498,SE84
0,503,SE84
0,516,SE84
0,538,SE84
0,565,SE84
0,570,SE84
0,575,SE84
0,597,SE84
0,607,SE84
0,610,SE84
0,611,SE84
0,613,SE84
0,639,SE84
0,675,SE84
0,682,SE84
0,694,SE84
0,700,SE84
0,724,SE84
0,767,SE84
0,779,SE84
0,783,SE84
0,785,SE84
0,795,SE84
0,798,SE84
0,809,SE84
0,0,SE85
0,4,SE85
0,5,SE85
0,7,SE85
0,10,SE85
0,13,SE85
0,15,SE85
0,16,SE85
0,18,SE85
0,20,SE85
0,24,SE85
0,25,SE85
0,29,SE85
0,30,SE85
0,33,SE85
0,34,SE85
0,35,SE85
0,40,SE85
0,41,SE85
0,46,SE85
0,48,SE85
0,50,SE85
0,54,SE85
0,56,SE85
0,58,SE85
0,60,SE85
0,67,SE85
0,76,SE85
0,77,SE85
0,80,SE85
0,81,SE85
0,82,SE85
0,83,SE85
0,84,SE85
0,85,SE85
0,88,SE85
0,89,SE85
0,90,SE85
0,91,SE85
0,96,SE85
0,97,SE85
0,98,SE85
0,99,SE85
0,101,SE85
0,104,SE85
0,106,SE85
0,107,SE85
0,109,SE85
0,110,SE85
0,120,SE85
0,121,SE85
0,122,SE85
0,123,SE85
0,129,SE85
0,130,SE85
0,131,SE85
0,132,SE85
0,134,SE85
0,135,SE85
0,137,SE85
0,141,SE85
0,144,SE85
0,146,SE85
0,147,SE85
0,150,SE85
0,152,SE85
0,155,SE85
0,158,SE85
0,160,SE85
0,163,SE85
0,168,SE85
0,174,SE85
0,175,SE85
0,184,SE85
0,186,SE85
0,188,SE85
0,189,SE85
0,191,SE85
0,201,SE85
0,202,SE85
0,203,SE85
0,207,SE85
0,208,SE85
0,209,SE85
0,212,SE85
0,213,SE85
0,218,SE85
0,220,SE85
0,222,SE85
0,227,SE85
0,229,SE85
0,231,SE85
0,232,SE85
0,233,SE85
0,236,SE85
0,237,SE85
0,240,SE85
0,247,SE85
0,249,SE85
0,252,SE85
0,258,SE85
0,259,SE85
0,261,SE85
0,266,SE85
0,270,SE85
0,275,SE85
0,276,SE85
0,278,SE85
0,280,SE85
0,281,SE85
0,282,SE85
0,285,SE85
0,286,SE85
0,287,SE85
0,289,SE85
0,296,SE85
0,299,SE85
0,305,SE85
0,311,SE85
0,312,SE85
0,313,SE85
0,315,SE85
0,319,SE85
0,320,SE85
0,324,SE85
0,327,SE85
0,330,SE85
0,331,SE85
0,333,SE85
0,334,SE85
0,341,SE85
0,345,SE85
0,346,SE85
0,348,SE85
0,350,SE85
0,354,SE85
0,356,SE85
0,361,SE85
0,364,SE85
0,365,SE85
0,366,SE85
0,369,SE85
0,370,SE85
0,377,SE85
0,379,SE85
0,381,SE85
0,383,SE85
0,392,SE85
0,393,SE85
0,401,SE85
0,403,SE85
0,405,SE85
0,408,SE85
0,409,SE85
0,411,SE85
0,415,SE85
0,416,SE85
0,418,SE85
0,422,SE85
0,423,SE85
0,425,SE85
0,433,SE85
0,434,SE85
0,436,SE85
0,439,SE85
0,442,SE85
0,445,SE85
0,448,SE85
0,449,SE85
0,453,SE85
0,454,SE85
0,461,SE85
0,463,SE85
0,464,SE85
0,465,SE85
0,469,SE85
0,470,SE85
0,471,SE85
0,474,SE85
0,477,SE85
0,485,SE85
0,488,SE85
0,497,SE85
0,498,SE85
0,503,SE85
0,508,SE85
0,517,SE85
0,518,SE85
0,523,SE85
0,527,SE85
0,530,SE85
0,532,SE85
0,533,SE85
0,535,SE85
0,536,SE85
0,537,SE85
0,541,SE85
0,542,SE85
0,543,SE85
0,544,SE85
0,549,SE85
0,550,SE85
0,551,SE85
0,552,SE85
0,555,SE85
0,556,SE85
0,557,SE85
0,559,SE85
0,562,SE85
0,563,SE85
0,564,SE85
0,565,SE85
0,569,SE85
0,570,SE85
0,571,SE85
0,572,SE85
0,573,SE85
0,574,SE85
0,575,SE85
0,576,SE85
0,578,SE85
0,586,SE85
0,593,SE85
0,595,SE85
0,597,SE85
0,600,SE85
0,601,SE85
0,606,SE85
0,611,SE85
0,613,SE85
0,618,SE85
0,624,SE85
0,629,SE85
0,631,SE85
0,635,SE85
0,637,SE85
0,638,SE85
0,639,SE85
0,641,SE85
0,646,SE85
0,650,SE85
0,651,SE85
0,655,SE85
0,657,SE85
0,659,SE85
0,671,SE85
0,674,SE85
0,675,SE85
0,677,SE85
0,678,SE85
0,682,SE85
0,683,SE85
0,684,SE85
0,685,SE85
0,687,SE85
0,688,SE85
0,689,SE85
0,690,SE85
0,691,SE85
0,694,SE85
0,699,SE85
0,702,SE85
0,704,SE85
0,707,SE85
0,712,SE85
0,717,SE85
0,718,SE85
0,719,SE85
0,724,SE85
0,725,SE85
0,727,SE85
0,728,SE85
0,729,SE85
0,732,SE85
0,733,SE85
0,748,SE85
0,753,SE85
0,760,SE85
0,762,SE85
0,767,SE85
0,773,SE85
0,774,SE85
0,775,SE85
0,780,SE85
0,782,SE85
0,785,SE85
0,788,SE85
0,789,SE85
0,792,SE85
0,798,SE85
0,801,SE85
0,803,SE85
0,804,SE85
0,807,SE85
0,809,SE85
0,821,SE85
0,823,SE85
0,826,SE85
0,828,SE85
0,76,SE86
0,202,SE86
0,249,SE86
0,278,SE86
0,409,SE86
0,498,SE86
0,559,SE86
0,724,SE86
0,24,SE87
0,33,SE87
0,35,SE87
0,47,SE87
0,48,SE87
0,62,SE87
0,104,SE87
0,110,SE87
0,137,SE87
0,146,SE87
0,150,SE87
0,168,SE87
0,191,SE87
0,202,SE87
0,222,SE87
0,252,SE87
0,259,SE87
0,287,SE87
0,340,SE87
0,356,SE87
0,366,SE87
0,405,SE87
0,411,SE87
0,435,SE87
0,502,SE87
0,544,SE87
0,565,SE87
0,575,SE87
0,593,SE87
0,650,SE87
0,671,SE87
0,675,SE87
0,826,SE87
0,25,SE88
0,137,SE88
0,296,SE88
0,333,SE88
0,498,SE88
0,550,SE88
0,551,SE88
0,570,SE88
0,699,SE88
0,781,SE88
0,797,SE88
0,24,SE89
0,110,SE89
0,137,SE89
0,213,SE89
0,252,SE89
0,297,SE89
0,408,SE89
0,613,SE89
0,717,SE89
0,788,SE89
0,81,SE90
0,456,SE90
0,675,SE90
0,683,SE90
0,722,SE90
0,742,SE90
0,454,SE91
0,89,SE92
0,271,SE92
0,454,SE92
0,464,SE92
0,770,SE93
0,137,SE94
0,247,SE94
0,345,SE95
0,673,SE95
0,675,SE95
0,9,SE96
0,11,SE96
0,20,SE96
0,33,SE96
0,34,SE96
0,41,SE96
0,48,SE96
0,50,SE96
0,78,SE96
0,83,SE96
0,86,SE96
0,101,SE96
0,137,SE96
0,165,SE96
0,174,SE96
0,181,SE96
0,184,SE96
0,209,SE96
0,213,SE96
0,231,SE96
0,235,SE96
0,247,SE96
0,271,SE96
0,282,SE96
0,297,SE96
0,311,SE96
0,324,SE96
0,334,SE96
0,345,SE96
0,346,SE96
0,356,SE96
0,361,SE96
0,365,SE96
0,411,SE96
0,421,SE96
0,443,SE96
0,454,SE96
0,498,SE96
0,503,SE96
0,516,SE96
0,533,SE96
0,575,SE96
0,578,SE96
0,605,SE96
0,606,SE96
0,615,SE96
0,618,SE96
0,675,SE96
0,685,SE96
0,706,SE96
0,781,SE96
0,792,SE96
0,808,SE96
0,809,SE96
0,826,SE96
0,142,SE97
0,191,SE97
0,234,SE97
0,235,SE97
0,443,SE97
0,812,SE97
0,142,SE98
0,345,SE98
0,406,SE98
0,516,SE98
0,812,SE98
0,24,SE99
0,181,SE99
0,345,SE99
0,455,SE99
0,575,SE99
0,578,SE99
0,675,SE99
0,687,SE99
0,5,SE100
0,20,SE100
0,78,SE100
0,131,SE100
0,181,SE100
0,191,SE100
0,239,SE100
0,246,SE100
0,266,SE100
0,275,SE100
0,300,SE100
0,303,SE100
0,331,SE100
0,366,SE100
0,386,SE100
0,387,SE100
0,401,SE100
0,413,SE100
0,422,SE100
0,454,SE100
0,460,SE100
0,469,SE100
0,537,SE100
0,555,SE100
0,566,SE100
0,601,SE100
0,637,SE100
0,659,SE100
0,660,SE100
0,664,SE100
0,689,SE100
0,690,SE100
0,691,SE100
0,702,SE100
0,722,SE100
0,731,SE100
0,780,SE100
0,781,SE100
0,801,SE100
0,8,SE101
0,20,SE101
0,33,SE101
0,35,SE101
0,47,SE101
0,55,SE101
0,58,SE101
0,67,SE101
0,76,SE101
0,77,SE101
0,82,SE101
0,89,SE101
0,98,SE101
0,101,SE101
0,117,SE101
0,137,SE101
0,146,SE101
0,178,SE101
0,189,SE101
0,203,SE101
0,218,SE101
0,222,SE101
0,249,SE101
0,256,SE101
0,259,SE101
0,261,SE101
0,298,SE101
0,303,SE101
0,305,SE101
0,311,SE101
0,315,SE101
0,327,SE101
0,356,SE101
0,370,SE101
0,377,SE101
0,382,SE101
0,392,SE101
0,409,SE101
0,411,SE101
0,417,SE101
0,433,SE101
0,445,SE101
0,469,SE101
0,532,SE101
0,551,SE101
0,575,SE101
0,591,SE101
0,611,SE101
0,659,SE101
0,675,SE101
0,700,SE101
0,704,SE101
0,722,SE101
0,724,SE101
0,766,SE101
0,768,SE101
0,788,SE101
0,800,SE101
0,807,SE101
0,820,SE101
0,533,SE102
0,41,SE103
0,137,SE103
0,416,SE103
0,434,SE104
0,121,SE105
0,542,SE105
0,682,SE106
0,804,SE106
0,255,SE107
0,575,SE108
0,4,SE109
0,13,SE109
0,33,SE109
0,35,SE109
0,40,SE109
0,41,SE109
0,83,SE109
0,84,SE109
0,88,SE109
0,98,SE109
0,129,SE109
0,131,SE109
0,133,SE109
0,138,SE109
0,160,SE109
0,215,SE109
0,227,SE109
0,236,SE109
0,257,SE109
0,259,SE109
0,261,SE109
0,296,SE109
0,303,SE109
0,312,SE109
0,320,SE109
0,327,SE109
0,345,SE109
0,370,SE109
0,386,SE109
0,406,SE109
0,409,SE109
0,415,SE109
0,434,SE109
0,454,SE109
0,461,SE109
0,471,SE109
0,485,SE109
0,497,SE109
0,501,SE109
0,518,SE109
0,533,SE109
0,537,SE109
0,541,SE109
0,552,SE109
0,554,SE109
0,555,SE109
0,567,SE109
0,575,SE109
0,593,SE109
0,614,SE109
0,635,SE109
0,641,SE109
0,648,SE109
0,653,SE109
0,675,SE109
0,690,SE109
0,707,SE109
0,722,SE109
0,732,SE109
0,748,SE109
0,762,SE109
0,766,SE109
0,809,SE109
0,823,SE109
0,33,SE110
0,158,SE110
0,381,SE110
0,408,SE110
0,537,SE110
0,0,SE111
0,1,SE111
0,11,SE111
0,13,SE111
0,20,SE111
0,26,SE111
0,33,SE111
0,34,SE111
0,35,SE111
0,42,SE111
0,47,SE111
0,54,SE111
0,59,SE111
0,61,SE111
0,67,SE111
0,71,SE111
0,72,SE111
0,77,SE111
0,89,SE111
0,90,SE111
0,93,SE111
0,94,SE111
0,95,SE111
0,101,SE111
0,117,SE111
0,122,SE111
0,132,SE111
0,134,SE111
0,135,SE111
0,142,SE111
0,156,SE111
0,162,SE111
0,170,SE111
0,187,SE111
0,199,SE111
0,200,SE111
0,201,SE111
0,203,SE111
0,209,SE111
0,216,SE111
0,220,SE111
0,222,SE111
0,229,SE111
0,233,SE111
0,236,SE111
0,238,SE111
0,241,SE111
0,244,SE111
0,249,SE111
0,255,SE111
0,259,SE111
0,261,SE111
0,265,SE111
0,275,SE111
0,276,SE111
0,277,SE111
0,281,SE111
0,286,SE111
0,287,SE111
0,298,SE111
0,300,SE111
0,303,SE111
0,311,SE111
0,312,SE111
0,320,SE111
0,322,SE111
0,328,SE111
0,329,SE111
0,331,SE111
0,333,SE111
0,335,SE111
0,342,SE111
0,352,SE111
0,357,SE111
0,359,SE111
0,363,SE111
0,381,SE111
0,391,SE111
0,401,SE111
0,422,SE111
0,435,SE111
0,442,SE111
0,445,SE111
0,446,SE111
0,454,SE111
0,456,SE111
0,457,SE111
0,462,SE111
0,469,SE111
0,479,SE111
0,480,SE111
0,485,SE111
0,495,SE111
0,496,SE111
0,507,SE111
0,509,SE111
0,511,SE111
0,516,SE111
0,517,SE111
0,520,SE111
0,522,SE111
0,527,SE111
0,537,SE111
0,538,SE111
0,545,SE111
0,547,SE111
0,552,SE111
0,555,SE111
0,562,SE111
0,564,SE111
0,565,SE111
0,567,SE111
0,576,SE111
0,578,SE111
0,588,SE111
0,590,SE111
0,592,SE111
0,600,SE111
0,606,SE111
0,609,SE111
0,610,SE111
0,616,SE111
0,620,SE111
0,626,SE111
0,627,SE111
0,632,SE111
0,648,SE111
0,653,SE111
0,658,SE111
0,659,SE111
0,673,SE111
0,675,SE111
0,677,SE111
0,688,SE111
0,693,SE111
0,694,SE111
0,700,SE111
0,702,SE111
0,704,SE111
0,707,SE111
0,723,SE111
0,727,SE111
0,733,SE111
0,734,SE111
0,736,SE111
0,737,SE111
0,749,SE111
0,753,SE111
0,762,SE111
0,766,SE111
0,767,SE111
0,770,SE111
0,773,SE111
0,779,SE111
0,785,SE111
0,790,SE111
0,807,SE111
0,812,SE111
0,821,SE111
0,825,SE111
0,830,SE111
0,46,SE112
0,137,SE112
0,137,SE113
0,162,SE113
0,252,SE113
0,345,SE113
0,594,SE113
0,634,SE113
0,821,SE113
0,1,SE114
0,4,SE114
0,5,SE114
0,7,SE114
0,9,SE114
0,10,SE114
0,11,SE114
0,13,SE114
0,15,SE114
0,18,SE114
0,24,SE114
0,25,SE114
0,33,SE114
0,34,SE114
0,35,SE114
0,41,SE114
0,47,SE114
0,49,SE114
0,56,SE114
0,59,SE114
0,62,SE114
0,67,SE114
0,73,SE114
0,75,SE114
0,81,SE114
0,84,SE114
0,88,SE114
0,89,SE114
0,91,SE114
0,95,SE114
0,102,SE114
0,107,SE114
0,109,SE114
0,110,SE114
0,122,SE114
0,137,SE114
0,141,SE114
0,146,SE114
0,150,SE114
0,163,SE114
0,168,SE114
0,174,SE114
0,181,SE114
0,183,SE114
0,186,SE114
0,191,SE114
0,201,SE114
0,207,SE114
0,208,SE114
0,213,SE114
0,218,SE114
0,222,SE114
0,229,SE114
0,231,SE114
0,232,SE114
0,236,SE114
0,237,SE114
0,240,SE114
0,242,SE114
0,247,SE114
0,250,SE114
0,252,SE114
0,259,SE114
0,261,SE114
0,270,SE114
0,275,SE114
0,276,SE114
0,280,SE114
0,286,SE114
0,291,SE114
0,296,SE114
0,298,SE114
0,305,SE114
0,315,SE114
0,319,SE114
0,320,SE114
0,323,SE114
0,324,SE114
0,327,SE114
0,330,SE114
0,334,SE114
0,345,SE114
0,346,SE114
0,356,SE114
0,361,SE114
0,363,SE114
0,364,SE114
0,369,SE114
0,370,SE114
0,381,SE114
0,386,SE114
0,390,SE114
0,392,SE114
0,393,SE114
0,403,SE114
0,408,SE114
0,409,SE114
0,411,SE114
0,415,SE114
0,416,SE114
0,422,SE114
0,425,SE114
0,433,SE114
0,435,SE114
0,443,SE114
0,445,SE114
0,448,SE114
0,449,SE114
0,452,SE114
0,454,SE114
0,456,SE114
0,459,SE114
0,462,SE114
0,463,SE114
0,464,SE114
0,465,SE114
0,469,SE114
0,470,SE114
0,471,SE114
0,474,SE114
0,485,SE114
0,498,SE114
0,503,SE114
0,518,SE114
0,533,SE114
0,535,SE114
0,537,SE114
0,541,SE114
0,544,SE114
0,549,SE114
0,555,SE114
0,563,SE114
0,564,SE114
0,569,SE114
0,570,SE114
0,572,SE114
0,574,SE114
0,575,SE114
0,576,SE114
0,578,SE114
0,593,SE114
0,595,SE114
0,597,SE114
0,600,SE114
0,602,SE114
0,606,SE114
0,611,SE114
0,613,SE114
0,615,SE114
0,618,SE114
0,622,SE114
0,624,SE114
0,629,SE114
0,638,SE114
0,639,SE114
0,641,SE114
0,650,SE114
0,657,SE114
0,659,SE114
0,669,SE114
0,674,SE114
0,675,SE114
0,677,SE114
0,678,SE114
0,680,SE114
0,683,SE114
0,687,SE114
0,690,SE114
0,699,SE114
0,702,SE114
0,704,SE114
0,707,SE114
0,717,SE114
0,725,SE114
0,728,SE114
0,739,SE114
0,760,SE114
0,762,SE114
0,767,SE114
0,781,SE114
0,788,SE114
0,789,SE114
0,792,SE114
0,801,SE114
0,803,SE114
0,807,SE114
0,810,SE114
0,821,SE114
0,826,SE114
0,129,SE115
0,303,SE115
0,24,SE116
0,35,SE116
0,184,SE116
0,229,SE116
0,320,SE116
0,345,SE116
0,498,SE116
0,575,SE116
0,578,SE116
0,618,SE116
0,732,SE116
0,792,SE116
0,792,SE117
0,5,SE118
0,14,SE118
0,34,SE118
0,35,SE118
0,41,SE118
0,48,SE118
0,67,SE118
0,75,SE118
0,83,SE118
0,86,SE118
0,89,SE118
0,98,SE118
0,101,SE118
0,105,SE118
0,137,SE118
0,146,SE118
0,160,SE118
0,184,SE118
0,218,SE118
0,222,SE118
0,229,SE118
0,247,SE118
0,271,SE118
0,277,SE118
0,297,SE118
0,330,SE118
0,345,SE118
0,386,SE118
0,406,SE118
0,423,SE118
0,471,SE118
0,498,SE118
0,549,SE118
0,575,SE118
0,578,SE118
0,611,SE118
0,618,SE118
0,675,SE118
0,700,SE118
0,724,SE118
0,781,SE118
0,792,SE118
0,795,SE118
0,798,SE118
0,809,SE118
0,24,SE119
0,25,SE119
0,34,SE119
0,35,SE119
0,47,SE119
0,50,SE119
0,75,SE119
0,83,SE119
0,84,SE119
0,91,SE119
0,101,SE119
0,110,SE119
0,122,SE119
0,137,SE119
0,146,SE119
0,174,SE119
0,186,SE119
0,213,SE119
0,237,SE119
0,247,SE119
0,266,SE119
0,271,SE119
0,291,SE119
0,297,SE119
0,320,SE119
0,334,SE119
0,345,SE119
0,375,SE119
0,406,SE119
0,411,SE119
0,425,SE119
0,454,SE119
0,469,SE119
0,498,SE119
0,518,SE119
0,564,SE119
0,575,SE119
0,597,SE119
0,613,SE119
0,618,SE119
0,675,SE119
0,683,SE119
0,689,SE119
0,702,SE119
0,707,SE119
0,725,SE119
0,728,SE119
0,792,SE119
0,101,SE120
0,220,SE120
0,247,SE120
0,330,SE120
0,345,SE120
0,346,SE120
0,377,SE120
0,503,SE120
0,537,SE120
0,549,SE120
0,551,SE120
0,565,SE120
0,572,SE120
0,590,SE120
0,613,SE120
0,616,SE120
0,659,SE120
0,675,SE120
0,689,SE120
0,731,SE120
0,760,SE120
0,781,SE120
0,792,SE120
0,7,SE121
0,13,SE121
0,17,SE121
0,40,SE121
0,47,SE121
0,84,SE121
0,113,SE121
0,133,SE121
0,141,SE121
0,147,SE121
0,162,SE121
0,169,SE121
0,172,SE121
0,179,SE121
0,183,SE121
0,208,SE121
0,220,SE121
0,247,SE121
0,249,SE121
0,252,SE121
0,255,SE121
0,257,SE121
0,278,SE121
0,296,SE121
0,327,SE121
0,345,SE121
0,407,SE121
0,409,SE121
0,411,SE121
0,414,SE121
0,423,SE121
0,465,SE121
0,487,SE121
0,500,SE121
0,508,SE121
0,530,SE121
0,541,SE121
0,568,SE121
0,572,SE121
0,574,SE121
0,575,SE121
0,580,SE121
0,590,SE121
0,593,SE121
0,594,SE121
0,656,SE121
0,666,SE121
